Year,Region,Indicator,Characteristic,Age,Cases,Rate,RSE,LowerConfidenceInterval,UpperConfidenceInterval,Denominator
2002,ACT,"Perinatal death rate, per 1000 births",Perinatal deaths,0,34,8.4,17.1,5.6,11.2,"4,047"
2003,ACT,"Perinatal death rate, per 1000 births",Perinatal deaths,0,55,13.4,13.4,9.9,16.9,"4,111"
2004,ACT,"Perinatal death rate, per 1000 births",Perinatal deaths,0,44,10.7,15,7.6,13.8,"4,110"
2005,ACT,"Perinatal death rate, per 1000 births",Perinatal deaths,0,49,11.4,14.2,8.3,14.6,"4,282"
2006,ACT,"Perinatal death rate, per 1000 births",Perinatal deaths,0,51,11.1,13.9,8.1,14.2,"4,576"
2007,ACT,"Perinatal death rate, per 1000 births",Perinatal deaths,0,48,10.4,14.4,7.5,13.3,"4,623"
2008,ACT,"Perinatal death rate, per 1000 births",Perinatal deaths,0,59,12.3,12.9,9.2,15.4,"4,796"
2009,ACT,"Perinatal death rate, per 1000 births",Perinatal deaths,0,36,7.4,16.6,5,9.8,"4,894"
2010,ACT,"Perinatal death rate, per 1000 births",Perinatal deaths,0,57,11.5,13.2,8.5,14.4,"4,978"
2011,ACT,"Perinatal death rate, per 1000 births",Perinatal deaths,0,39,8.1,15.9,5.5,10.6,"4,836"
2012,ACT,"Perinatal death rate, per 1000 births",Perinatal deaths,0,56,10.6,13.3,7.9,13.4,"5,259"
2013,ACT,"Perinatal death rate, per 1000 births",Perinatal deaths,0,41,7.6,15.6,5.3,10,"5,360"
2014,ACT,"Perinatal death rate, per 1000 births",Perinatal deaths,0,59,10.7,12.9,8,13.4,"5,530"
2015,ACT,"Perinatal death rate, per 1000 births",Perinatal deaths,0,46,8.3,14.7,5.9,10.7,"5,532"
2016,ACT,"Perinatal death rate, per 1000 births",Perinatal deaths,0,54,9.5,13.5,7,12,"5,685"
2017,ACT,"Perinatal death rate, per 1000 births",Perinatal deaths,0,56,10.4,13.3,7.7,13.1,"5,386"
2018,ACT,"Perinatal death rate, per 1000 births",Perinatal deaths,0,51,9.9,13.9,7.2,12.6,"5,149"
2019,ACT,"Perinatal death rate, per 1000 births",Perinatal deaths,0,42,7.8,15.4,5.4,10.1,"5,399"
2020,ACT,"Perinatal death rate, per 1000 births",Perinatal deaths,0,39,7.5,16,5.2,9.8,"5,204"
2001,ACT,Smoking during pregnancy,Smoker,0 to 85+,556,15.1,3.9,13.9,16.2,"3,687"
2001,ACT,Smoking during pregnancy,Non-Smoker,0 to 85+,"3,131",84.9,0.7,83.8,86.1,"3,687"
2002,ACT,Smoking during pregnancy,Smoker,0 to 85+,569,14.7,3.9,13.5,15.8,"3,882"
2002,ACT,Smoking during pregnancy,Non-Smoker,0 to 85+,"3,313",85.3,0.7,84.2,86.5,"3,882"
2003,ACT,Smoking during pregnancy,Smoker,0 to 85+,486,12,4.3,11,13,"4,050"
2003,ACT,Smoking during pregnancy,Non-Smoker,0 to 85+,"3,564",88,0.6,87,89,"4,050"
2004,ACT,Smoking during pregnancy,Smoker,0 to 85+,614,15.4,3.7,14.3,16.5,"3,983"
2004,ACT,Smoking during pregnancy,Non-Smoker,0 to 85+,"3,369",84.6,0.7,83.5,85.7,"3,983"
2005,ACT,Smoking during pregnancy,Smoker,0 to 85+,584,13.8,3.8,12.8,14.9,"4,221"
2005,ACT,Smoking during pregnancy,Non-Smoker,0 to 85+,"3,637",86.2,0.6,85.1,87.2,"4,221"
2006,ACT,Smoking during pregnancy,Smoker,0 to 85+,615,13.7,3.7,12.7,14.7,"4,480"
2006,ACT,Smoking during pregnancy,Non-Smoker,0 to 85+,"3,865",86.3,0.6,85.3,87.3,"4,480"
2007,ACT,Smoking during pregnancy,Smoker,0 to 85+,568,12.5,3.9,11.5,13.5,"4,546"
2007,ACT,Smoking during pregnancy,Non-Smoker,0 to 85+,"3,978",87.5,0.6,86.5,88.5,"4,546"
2008,ACT,Smoking during pregnancy,Smoker,0 to 85+,607,12.9,3.8,12,13.9,"4,690"
2008,ACT,Smoking during pregnancy,Non-Smoker,0 to 85+,"4,083",87.1,0.6,86.1,88,"4,690"
2009,ACT,Smoking during pregnancy,Smoker,0 to 85+,510,10.7,4.2,9.8,11.6,"4,774"
2009,ACT,Smoking during pregnancy,Non-Smoker,0 to 85+,"4,264",89.3,0.5,88.4,90.2,"4,774"
2010,ACT,Smoking during pregnancy,Smoker,0 to 85+,515,10.5,4.2,9.7,11.4,"4,883"
2010,ACT,Smoking during pregnancy,Non-Smoker,0 to 85+,"4,368",89.5,0.5,88.6,90.3,"4,883"
2011,ACT,Smoking during pregnancy,Smoker,0 to 85+,442,9.3,4.5,8.5,10.1,"4,749"
2011,ACT,Smoking during pregnancy,Non-Smoker,0 to 85+,"4,307",90.7,0.5,89.9,91.5,"4,749"
2012,ACT,Smoking during pregnancy,Smoker,0 to 85+,368,7.1,5,6.4,7.8,"5,182"
2012,ACT,Smoking during pregnancy,Non-Smoker,0 to 85+,"4,814",92.9,0.4,92.2,93.6,"5,182"
2013,ACT,Smoking during pregnancy,Smoker,0 to 85+,299,5.7,5.6,5,6.3,"5,270"
2013,ACT,Smoking during pregnancy,Non-Smoker,0 to 85+,"4,971",94.3,0.3,93.7,95,"5,270"
2014,ACT,Smoking during pregnancy,Smoker,0 to 85+,368,6.8,5,6.1,7.4,"5,446"
2014,ACT,Smoking during pregnancy,Non-Smoker,0 to 85+,"5,078",93.2,0.4,92.6,93.9,"5,446"
2015,ACT,Smoking during pregnancy,Smoker,0 to 85+,360,6.6,5.1,6,7.3,"5,437"
2015,ACT,Smoking during pregnancy,Non-Smoker,0 to 85+,"5,077",93.4,0.4,92.7,94,"5,437"
2016,ACT,Smoking during pregnancy,Smoker,0 to 85+,285,5.1,5.8,4.5,5.7,"5,589"
2016,ACT,Smoking during pregnancy,Non-Smoker,0 to 85+,"5,304",94.9,0.3,94.3,95.5,"5,589"
2017,ACT,Smoking during pregnancy,Smoker,0 to 85+,287,5.4,5.7,4.8,6,"5,295"
2017,ACT,Smoking during pregnancy,Non-Smoker,0 to 85+,"5,008",94.6,0.3,94,95.2,"5,295"
2018,ACT,Smoking during pregnancy,Smoker,0 to 85+,248,4.9,6.2,4.3,5.5,"5,064"
2018,ACT,Smoking during pregnancy,Non-Smoker,0 to 85+,"4,816",95.1,0.3,94.5,95.7,"5,064"
2019,ACT,Smoking during pregnancy,Smoker,0 to 85+,250,4.7,6.2,4.1,5.3,"5,308"
2019,ACT,Smoking during pregnancy,Non-Smoker,0 to 85+,"5,058",95.3,0.3,94.7,95.9,"5,308"
2020,ACT,Smoking during pregnancy,Smoker,0 to 85+,231,4.5,6.4,3.9,5.1,"5,135"
2020,ACT,Smoking during pregnancy,Non-Smoker,0 to 85+,"4,904",95.5,0.3,94.9,96.1,"5,135"
2001,ACT,Smoking during pregnancy by Aboriginal and Torres Strait Islander status,Aboriginal and Torres Strait Islander,0 to 85+,15,38.5,20.3,23.2,53.7,39
2001,ACT,Smoking during pregnancy by Aboriginal and Torres Strait Islander status,Non-Aboriginal or Torres Strait Islander,0 to 85+,537,14.8,4,13.6,15.9,"3,639"
2002,ACT,Smoking during pregnancy by Aboriginal and Torres Strait Islander status,Aboriginal and Torres Strait Islander,0 to 85+,18,36,18.9,22.7,49.3,50
2002,ACT,Smoking during pregnancy by Aboriginal and Torres Strait Islander status,Non-Aboriginal or Torres Strait Islander,0 to 85+,548,14.4,4,13.3,15.5,"3,808"
2003,ACT,Smoking during pregnancy by Aboriginal and Torres Strait Islander status,Aboriginal and Torres Strait Islander,0 to 85+,25,43.1,15.1,30.4,55.8,58
2003,ACT,Smoking during pregnancy by Aboriginal and Torres Strait Islander status,Non-Aboriginal or Torres Strait Islander,0 to 85+,461,11.6,4.4,10.6,12.6,"3,975"
2004,ACT,Smoking during pregnancy by Aboriginal and Torres Strait Islander status,Aboriginal and Torres Strait Islander,0 to 85+,25,46.3,14.7,33,59.6,54
2004,ACT,Smoking during pregnancy by Aboriginal and Torres Strait Islander status,Non-Aboriginal or Torres Strait Islander,0 to 85+,587,15,3.8,13.9,16.1,"3,916"
2005,ACT,Smoking during pregnancy by Aboriginal and Torres Strait Islander status,Aboriginal and Torres Strait Islander,0 to 85+,34,43,12.9,32.1,54,79
2005,ACT,Smoking during pregnancy by Aboriginal and Torres Strait Islander status,Non-Aboriginal or Torres Strait Islander,0 to 85+,550,13.3,4,12.2,14.3,"4,142"
2006,ACT,Smoking during pregnancy by Aboriginal and Torres Strait Islander status,Aboriginal and Torres Strait Islander,0 to 85+,35,46.1,12.4,34.8,57.3,76
2006,ACT,Smoking during pregnancy by Aboriginal and Torres Strait Islander status,Non-Aboriginal or Torres Strait Islander,0 to 85+,578,13.2,3.9,12.2,14.2,"4,386"
2007,ACT,Smoking during pregnancy by Aboriginal and Torres Strait Islander status,Aboriginal and Torres Strait Islander,0 to 85+,34,51.5,11.9,39.5,63.6,66
2007,ACT,Smoking during pregnancy by Aboriginal and Torres Strait Islander status,Non-Aboriginal or Torres Strait Islander,0 to 85+,533,11.9,4.1,11,12.8,"4,477"
2008,ACT,Smoking during pregnancy by Aboriginal and Torres Strait Islander status,Aboriginal and Torres Strait Islander,0 to 85+,36,50,11.8,38.4,61.6,72
2008,ACT,Smoking during pregnancy by Aboriginal and Torres Strait Islander status,Non-Aboriginal or Torres Strait Islander,0 to 85+,565,12.3,3.9,11.3,13.2,"4,597"
2009,ACT,Smoking during pregnancy by Aboriginal and Torres Strait Islander status,Aboriginal and Torres Strait Islander,0 to 85+,38,56.7,10.7,44.8,68.6,67
2009,ACT,Smoking during pregnancy by Aboriginal and Torres Strait Islander status,Non-Aboriginal or Torres Strait Islander,0 to 85+,472,10.1,4.4,9.2,10.9,"4,688"
2010,ACT,Smoking during pregnancy by Aboriginal and Torres Strait Islander status,Aboriginal and Torres Strait Islander,0 to 85+,35,58.3,10.9,45.9,70.8,60
2010,ACT,Smoking during pregnancy by Aboriginal and Torres Strait Islander status,Non-Aboriginal or Torres Strait Islander,0 to 85+,480,10,4.3,9.1,10.8,"4,822"
2011,ACT,Smoking during pregnancy by Aboriginal and Torres Strait Islander status,Aboriginal and Torres Strait Islander,0 to 85+,38,52.1,11.2,40.6,63.5,73
2011,ACT,Smoking during pregnancy by Aboriginal and Torres Strait Islander status,Non-Aboriginal or Torres Strait Islander,0 to 85+,404,8.6,4.8,7.8,9.4,"4,675"
2012,ACT,Smoking during pregnancy by Aboriginal and Torres Strait Islander status,Aboriginal and Torres Strait Islander,0 to 85+,40,42.6,12,32.6,52.6,94
2012,ACT,Smoking during pregnancy by Aboriginal and Torres Strait Islander status,Non-Aboriginal or Torres Strait Islander,0 to 85+,328,6.4,5.3,5.8,7.1,"5,087"
2013,ACT,Smoking during pregnancy by Aboriginal and Torres Strait Islander status,Aboriginal and Torres Strait Islander,0 to 85+,41,45.6,11.5,35.3,55.8,90
2013,ACT,Smoking during pregnancy by Aboriginal and Torres Strait Islander status,Non-Aboriginal or Torres Strait Islander,0 to 85+,257,5,6.1,4.4,5.6,"5,176"
2014,ACT,Smoking during pregnancy by Aboriginal and Torres Strait Islander status,Aboriginal and Torres Strait Islander,0 to 85+,32,33.7,14.4,24.2,43.2,95
2014,ACT,Smoking during pregnancy by Aboriginal and Torres Strait Islander status,Non-Aboriginal or Torres Strait Islander,0 to 85+,333,6.3,5.3,5.6,6.9,"5,324"
2015,ACT,Smoking during pregnancy by Aboriginal and Torres Strait Islander status,Aboriginal and Torres Strait Islander,0 to 85+,58,53.2,9,43.8,62.6,109
2015,ACT,Smoking during pregnancy by Aboriginal and Torres Strait Islander status,Non-Aboriginal or Torres Strait Islander,0 to 85+,301,5.7,5.6,5,6.3,"5,325"
2016,ACT,Smoking during pregnancy by Aboriginal and Torres Strait Islander status,Aboriginal and Torres Strait Islander,0 to 85+,38,39.6,12.6,29.8,49.4,96
2016,ACT,Smoking during pregnancy by Aboriginal and Torres Strait Islander status,Non-Aboriginal or Torres Strait Islander,0 to 85+,244,4.5,6.3,3.9,5,"5,471"
2017,ACT,Smoking during pregnancy by Aboriginal and Torres Strait Islander status,Aboriginal and Torres Strait Islander,0 to 85+,44,43.6,11.3,33.9,53.2,101
2017,ACT,Smoking during pregnancy by Aboriginal and Torres Strait Islander status,Non-Aboriginal or Torres Strait Islander,0 to 85+,243,4.7,6.3,4.1,5.3,"5,187"
2018,ACT,Smoking during pregnancy by Aboriginal and Torres Strait Islander status,Aboriginal and Torres Strait Islander,0 to 85+,37,31.4,13.6,23,39.7,118
2018,ACT,Smoking during pregnancy by Aboriginal and Torres Strait Islander status,Non-Aboriginal or Torres Strait Islander,0 to 85+,211,4.3,6.7,3.7,4.8,"4,945"
2019,ACT,Smoking during pregnancy by Aboriginal and Torres Strait Islander status,Aboriginal and Torres Strait Islander,0 to 85+,39,33.6,13,25,42.2,116
2019,ACT,Smoking during pregnancy by Aboriginal and Torres Strait Islander status,Non-Aboriginal or Torres Strait Islander,0 to 85+,210,4,6.8,3.5,4.6,"5,189"
2020,ACT,Smoking during pregnancy by Aboriginal and Torres Strait Islander status,Aboriginal and Torres Strait Islander,0 to 85+,37,33.6,13.4,24.8,42.5,110
2020,ACT,Smoking during pregnancy by Aboriginal and Torres Strait Islander status,Non-Aboriginal or Torres Strait Islander,0 to 85+,194,3.9,7,3.3,4.4,"5,025"
2001-2005,ACT,Smoking during pregnancy by age and Aboriginal and Torres Strait Islander Status,Aboriginal and Torres Strait Islander,15 to 19,22,62.9,13,46.8,78.9,35
2001-2005,ACT,Smoking during pregnancy by age and Aboriginal and Torres Strait Islander Status,Non-Aboriginal or Torres Strait Islander,15 to 19,240,43.6,4.8,39.5,47.8,550
2001-2005,ACT,Smoking during pregnancy by age and Aboriginal and Torres Strait Islander Status,Aboriginal and Torres Strait Islander,20 to 24,36,50.7,11.7,39.1,62.3,71
2001-2005,ACT,Smoking during pregnancy by age and Aboriginal and Torres Strait Islander Status,Non-Aboriginal or Torres Strait Islander,20 to 24,687,30.4,3.2,28.5,32.3,"2,259"
2001-2005,ACT,Smoking during pregnancy by age and Aboriginal and Torres Strait Islander Status,Aboriginal and Torres Strait Islander,25 to 29,28,38.4,14.8,27.2,49.5,73
2001-2005,ACT,Smoking during pregnancy by age and Aboriginal and Torres Strait Islander Status,Non-Aboriginal or Torres Strait Islander,25 to 29,769,14,3.3,13.1,14.9,"5,496"
2001-2005,ACT,Smoking during pregnancy by age and Aboriginal and Torres Strait Islander Status,Aboriginal and Torres Strait Islander,30 to 34,21,30,18.3,19.3,40.7,70
2001-2005,ACT,Smoking during pregnancy by age and Aboriginal and Torres Strait Islander Status,Non-Aboriginal or Torres Strait Islander,30 to 34,614,8.7,3.9,8.1,9.4,"7,030"
2001-2005,ACT,Smoking during pregnancy by age and Aboriginal and Torres Strait Islander Status,Aboriginal and Torres Strait Islander,35+,10,32.3,26,15.8,48.7,31
2001-2005,ACT,Smoking during pregnancy by age and Aboriginal and Torres Strait Islander Status,Non-Aboriginal or Torres Strait Islander,35+,373,9,4.9,8.1,9.9,"4,145"
2006-2010,ACT,Smoking during pregnancy by age and Aboriginal and Torres Strait Islander Status,Aboriginal and Torres Strait Islander,15 to 19,42,72.4,8.1,60.9,83.9,58
2006-2010,ACT,Smoking during pregnancy by age and Aboriginal and Torres Strait Islander Status,Non-Aboriginal or Torres Strait Islander,15 to 19,210,45.4,5.1,40.8,49.9,463
2006-2010,ACT,Smoking during pregnancy by age and Aboriginal and Torres Strait Islander Status,Aboriginal and Torres Strait Islander,20 to 24,64,63.4,7.6,54,72.8,101
2006-2010,ACT,Smoking during pregnancy by age and Aboriginal and Torres Strait Islander Status,Non-Aboriginal or Torres Strait Islander,20 to 24,666,28.5,3.3,26.7,30.4,"2,334"
2006-2010,ACT,Smoking during pregnancy by age and Aboriginal and Torres Strait Islander Status,Aboriginal and Torres Strait Islander,25 to 29,39,43.8,12,33.5,54.1,89
2006-2010,ACT,Smoking during pregnancy by age and Aboriginal and Torres Strait Islander Status,Non-Aboriginal or Torres Strait Islander,25 to 29,735,12,3.5,11.2,12.8,"6,124"
2006-2010,ACT,Smoking during pregnancy by age and Aboriginal and Torres Strait Islander Status,Aboriginal and Torres Strait Islander,30 to 34,15,30.6,21.5,17.7,43.5,49
2006-2010,ACT,Smoking during pregnancy by age and Aboriginal and Torres Strait Islander Status,Non-Aboriginal or Torres Strait Islander,30 to 34,572,6.9,4,6.4,7.4,"8,281"
2006-2010,ACT,Smoking during pregnancy by age and Aboriginal and Torres Strait Islander Status,Aboriginal and Torres Strait Islander,35+,18,40.9,18.1,26.4,55.4,44
2006-2010,ACT,Smoking during pregnancy by age and Aboriginal and Torres Strait Islander Status,Non-Aboriginal or Torres Strait Islander,35+,445,7.7,4.6,7,8.4,"5,766"
2011-2015,ACT,Smoking during pregnancy by age and Aboriginal and Torres Strait Islander Status,Aboriginal and Torres Strait Islander,15 to 19,24,43.6,15.3,30.5,56.7,55
2011-2015,ACT,Smoking during pregnancy by age and Aboriginal and Torres Strait Islander Status,Non-Aboriginal or Torres Strait Islander,15 to 19,141,36.2,6.7,31.4,40.9,390
2011-2015,ACT,Smoking during pregnancy by age and Aboriginal and Torres Strait Islander Status,Aboriginal and Torres Strait Islander,20 to 24,62,53,8.7,44,62,117
2011-2015,ACT,Smoking during pregnancy by age and Aboriginal and Torres Strait Islander Status,Non-Aboriginal or Torres Strait Islander,20 to 24,423,19.2,4.4,17.6,20.9,"2,201"
2011-2015,ACT,Smoking during pregnancy by age and Aboriginal and Torres Strait Islander Status,Aboriginal and Torres Strait Islander,25 to 29,65,48.5,8.9,40,57,134
2011-2015,ACT,Smoking during pregnancy by age and Aboriginal and Torres Strait Islander Status,Non-Aboriginal or Torres Strait Islander,25 to 29,433,6.3,4.7,5.7,6.9,"6,867"
2011-2015,ACT,Smoking during pregnancy by age and Aboriginal and Torres Strait Islander Status,Aboriginal and Torres Strait Islander,30 to 34,31,35.6,14.4,25.6,45.7,87
2011-2015,ACT,Smoking during pregnancy by age and Aboriginal and Torres Strait Islander Status,Non-Aboriginal or Torres Strait Islander,30 to 34,361,3.7,5.2,3.3,4,"9,873"
2011-2015,ACT,Smoking during pregnancy by age and Aboriginal and Torres Strait Islander Status,Aboriginal and Torres Strait Islander,35+,27,39.7,14.9,28.1,51.3,68
2011-2015,ACT,Smoking during pregnancy by age and Aboriginal and Torres Strait Islander Status,Non-Aboriginal or Torres Strait Islander,35+,265,4.2,6,3.7,4.7,"6,255"
2016-2020,ACT,Smoking during pregnancy by age and Aboriginal and Torres Strait Islander Status,Aboriginal and Torres Strait Islander,15 to 19,27,62.8,11.7,48.3,77.2,43
2016-2020,ACT,Smoking during pregnancy by age and Aboriginal and Torres Strait Islander Status,Non-Aboriginal or Torres Strait Islander,15 to 19,66,29.1,10.4,23.2,35,227
2016-2020,ACT,Smoking during pregnancy by age and Aboriginal and Torres Strait Islander Status,Aboriginal and Torres Strait Islander,20 to 24,59,43.1,9.8,34.8,51.4,137
2016-2020,ACT,Smoking during pregnancy by age and Aboriginal and Torres Strait Islander Status,Non-Aboriginal or Torres Strait Islander,20 to 24,247,14.6,5.9,12.9,16.3,"1,689"
2016-2020,ACT,Smoking during pregnancy by age and Aboriginal and Torres Strait Islander Status,Aboriginal and Torres Strait Islander,25 to 29,59,35.5,10.5,28.3,42.8,166
2016-2020,ACT,Smoking during pregnancy by age and Aboriginal and Torres Strait Islander Status,Non-Aboriginal or Torres Strait Islander,25 to 29,319,5.2,5.5,4.6,5.7,"6,178"
2016-2020,ACT,Smoking during pregnancy by age and Aboriginal and Torres Strait Islander Status,Aboriginal and Torres Strait Islander,30 to 34,34,28.1,14.5,20.1,36.1,121
2016-2020,ACT,Smoking during pregnancy by age and Aboriginal and Torres Strait Islander Status,Non-Aboriginal or Torres Strait Islander,30 to 34,267,2.5,6,2.2,2.8,"10,513"
2016-2020,ACT,Smoking during pregnancy by age and Aboriginal and Torres Strait Islander Status,Aboriginal and Torres Strait Islander,35+,16,21.6,22.1,12.2,31,74
2016-2020,ACT,Smoking during pregnancy by age and Aboriginal and Torres Strait Islander Status,Non-Aboriginal or Torres Strait Islander,35+,203,2.8,6.9,2.4,3.2,"7,210"
2003-2005,ACT,Smoking during pregnancy by age,,15 to 19,147,44.4,6.1,39.1,49.8,331
2003-2005,ACT,Smoking during pregnancy by age,,20 to 24,431,30.8,4,28.4,33.2,"1,401"
2003-2005,ACT,Smoking during pregnancy by age,,25 to 29,458,13.9,4.3,12.7,15,"3,301"
2003-2005,ACT,Smoking during pregnancy by age,,30 to 34,406,8.9,4.7,8.1,9.8,"4,540"
2003-2005,ACT,Smoking during pregnancy by age,,35 to 39,202,9,6.7,7.9,10.2,"2,233"
2003-2005,ACT,Smoking during pregnancy by age,,40+,40,8.9,15.1,6.3,11.6,448
2006-2008,ACT,Smoking during pregnancy by age,,15 to 19,147,46.8,6,41.3,52.3,314
2006-2008,ACT,Smoking during pregnancy by age,,20 to 24,444,30.1,4,27.8,32.4,"1,475"
2006-2008,ACT,Smoking during pregnancy by age,,25 to 29,497,13.6,4.2,12.5,14.8,"3,642"
2006-2008,ACT,Smoking during pregnancy by age,,30 to 34,391,8,4.9,7.2,8.8,"4,888"
2006-2008,ACT,Smoking during pregnancy by age,,35 to 39,260,9.1,5.9,8,10.2,"2,854"
2006-2008,ACT,Smoking during pregnancy by age,,40+,51,9.4,13.3,7,11.9,541
2009-2011,ACT,Smoking during pregnancy by age,,15 to 19,154,49.5,5.7,44,55.1,311
2009-2011,ACT,Smoking during pregnancy by age,,20 to 24,392,27.6,4.3,25.3,29.9,"1,421"
2009-2011,ACT,Smoking during pregnancy by age,,25 to 29,388,10.1,4.8,9.1,11,"3,855"
2009-2011,ACT,Smoking during pregnancy by age,,30 to 34,305,5.9,5.6,5.2,6.5,"5,186"
2009-2011,ACT,Smoking during pregnancy by age,,35 to 39,189,6.3,7,5.4,7.2,"2,989"
2009-2011,ACT,Smoking during pregnancy by age,,40+,39,6.1,15.5,4.2,7.9,643
2012-2014,ACT,Smoking during pregnancy by age,,15 to 19,94,34.4,8.4,28.8,40.1,273
2012-2014,ACT,Smoking during pregnancy by age,,20 to 24,288,20.5,5.3,18.4,22.6,"1,403"
2012-2014,ACT,Smoking during pregnancy by age,,25 to 29,297,6.9,5.6,6.1,7.6,"4,327"
2012-2014,ACT,Smoking during pregnancy by age,,30 to 34,197,3.2,7,2.8,3.7,"6,085"
2012-2014,ACT,Smoking during pregnancy by age,,35 to 39,120,3.9,8.9,3.2,4.6,"3,088"
2012-2014,ACT,Smoking during pregnancy by age,,40+,39,5.4,15.6,3.8,7,722
2015-2017,ACT,Smoking during pregnancy by age,,15 to 19,64,36.4,10,29.3,43.5,176
2015-2017,ACT,Smoking during pregnancy by age,,20 to 24,245,19.3,5.7,17.1,21.4,"1,272"
2015-2017,ACT,Smoking during pregnancy by age,,25 to 29,264,6.4,6,5.7,7.2,"4,115"
2015-2017,ACT,Smoking during pregnancy by age,,30 to 34,213,3.3,6.7,2.8,3.7,"6,541"
2015-2017,ACT,Smoking during pregnancy by age,,35 to 39,115,3.3,9.2,2.7,3.9,"3,483"
2015-2017,ACT,Smoking during pregnancy by age,,40+,31,4.2,17.6,2.8,5.7,734
2018-2020,ACT,Smoking during pregnancy by age,,15 to 19,52,31.9,11.4,24.8,39.1,163
2018-2020,ACT,Smoking during pregnancy by age,,20 to 24,155,15.2,7.4,13,17.4,"1,021"
2018-2020,ACT,Smoking during pregnancy by age,,25 to 29,206,5.6,6.8,4.9,6.4,"3,653"
2018-2020,ACT,Smoking during pregnancy by age,,30 to 34,178,2.8,7.4,2.4,3.2,"6,262"
2018-2020,ACT,Smoking during pregnancy by age,,35 to 39,101,2.8,9.8,2.2,3.3,"3,642"
2018-2020,ACT,Smoking during pregnancy by age,,40+,37,4.8,16,3.3,6.4,766
2001,ACT,Women who gave birth in hospital by establishment sector,Public,0 to 85+,"2,563",67.8,1.1,66.3,69.3,"3,779"
2001,ACT,Women who gave birth in hospital by establishment sector,Private,0 to 85+,"1,216",32.2,2.4,30.7,33.7,"3,779"
2002,ACT,Women who gave birth in hospital by establishment sector,Public,0 to 85+,"2,532",64,1.2,62.5,65.5,"3,956"
2002,ACT,Women who gave birth in hospital by establishment sector,Private,0 to 85+,"1,424",36,2.1,34.5,37.5,"3,956"
2003,ACT,Women who gave birth in hospital by establishment sector,Public,0 to 85+,"2,599",64.4,1.2,63,65.9,"4,033"
2003,ACT,Women who gave birth in hospital by establishment sector,Private,0 to 85+,"1,434",35.6,2.1,34.1,37,"4,033"
2004,ACT,Women who gave birth in hospital by establishment sector,Public,0 to 85+,"2,545",63.8,1.2,62.4,65.3,"3,986"
2004,ACT,Women who gave birth in hospital by establishment sector,Private,0 to 85+,"1,441",36.2,2.1,34.7,37.6,"3,986"
2005,ACT,Women who gave birth in hospital by establishment sector,Public,0 to 85+,"2,600",62,1.2,60.5,63.5,"4,194"
2005,ACT,Women who gave birth in hospital by establishment sector,Private,0 to 85+,"1,594",38,2,36.5,39.5,"4,194"
2006,ACT,Women who gave birth in hospital by establishment sector,Public,0 to 85+,"2,872",64.4,1.1,63,65.8,"4,458"
2006,ACT,Women who gave birth in hospital by establishment sector,Private,0 to 85+,"1,586",35.6,2,34.2,37,"4,458"
2007,ACT,Women who gave birth in hospital by establishment sector,Public,0 to 85+,"3,004",66.4,1.1,65.1,67.8,"4,521"
2007,ACT,Women who gave birth in hospital by establishment sector,Private,0 to 85+,"1,517",33.6,2.1,32.2,34.9,"4,521"
2008,ACT,Women who gave birth in hospital by establishment sector,Public,0 to 85+,"3,041",64.9,1.1,63.5,66.2,"4,689"
2008,ACT,Women who gave birth in hospital by establishment sector,Private,0 to 85+,"1,648",35.1,2,33.8,36.5,"4,689"
2009,ACT,Women who gave birth in hospital by establishment sector,Public,0 to 85+,"3,186",66.5,1,65.1,67.8,"4,794"
2009,ACT,Women who gave birth in hospital by establishment sector,Private,0 to 85+,"1,608",33.5,2,32.2,34.9,"4,794"
2010,ACT,Women who gave birth in hospital by establishment sector,Public,0 to 85+,"3,355",68.8,1,67.6,70.2,"4,873"
2010,ACT,Women who gave birth in hospital by establishment sector,Private,0 to 85+,"1,518",31.2,2.1,29.8,32.4,"4,873"
2011,ACT,Women who gave birth in hospital by establishment sector,Public,0 to 85+,"3,398",72,0.9,70.8,73.3,"4,717"
2011,ACT,Women who gave birth in hospital by establishment sector,Private,0 to 85+,"1,319",28,2.3,26.7,29.2,"4,717"
2012,ACT,Women who gave birth in hospital by establishment sector,Public,0 to 85+,"3,847",74.7,0.8,73.6,75.9,"5,147"
2012,ACT,Women who gave birth in hospital by establishment sector,Private,0 to 85+,"1,300",25.3,2.4,24.1,26.4,"5,147"
2013,ACT,Women who gave birth in hospital by establishment sector,Public,0 to 85+,"4,168",79.6,0.7,78.5,80.7,"5,235"
2013,ACT,Women who gave birth in hospital by establishment sector,Private,0 to 85+,"1,067",20.4,2.7,19.3,21.5,"5,235"
2014,ACT,Women who gave birth in hospital by establishment sector,Public,0 to 85+,"4,386",81.2,0.7,80.2,82.2,"5,402"
2014,ACT,Women who gave birth in hospital by establishment sector,Private,0 to 85+,"1,016",18.8,2.8,17.8,19.8,"5,402"
2015,ACT,Women who gave birth in hospital by establishment sector,Public,0 to 85+,"4,437",82.2,0.6,81.2,83.3,"5,395"
2015,ACT,Women who gave birth in hospital by establishment sector,Private,0 to 85+,958,17.8,2.9,16.7,18.8,"5,395"
2016,ACT,Women who gave birth in hospital by establishment sector,Public,0 to 85+,"4,581",82.5,0.6,81.5,83.5,"5,555"
2016,ACT,Women who gave birth in hospital by establishment sector,Private,0 to 85+,974,17.5,2.9,16.5,18.5,"5,555"
